NAME,POPULATION,TAX,ADMINISTRATION,DEFENCE,EDUCATION,ENVIRONMENT,HEALTHCARE,COMMERCE,INTERNATIONALAID,LAWANDORDER,PUBLICTRANSPORT,SOCIALEQUALITY,SPIRITUALITY,WELFARE
Drie Konings,2546,5.3,0,0,0,0,0,62.5,0,37.5,0,0,0,0
Duke of Caxias,3770,6.7,0,22.9,16.5,0,9.2,25.7,0,17.4,0,0,0,8.3
Gaspar,3069,29.8,0,0,22.4,0,15.5,8.6,0,0,0,0,12.1,41.4
Hakaro,3255,34.4,0.5,18.1,12.8,0,10.6,17.6,0.5,28.7,1.6,4.8,0,4.8
Kaoc,3249,14.5,0,7.7,17.3,0,17.3,9.6,0,30.8,0,0,0,17.3
Mark Fitzwilliam Darcy,3225,5.7,0,0,0,0,0,100,0,0,0,0,0,0
Okayama Kora,1654,4.4,0,0,0,0,0,100,0,0,0,0,0,0
RHW i,2528,4.3,0,0,0,0,0,100,0,0,0,0,0,0
RHW iv,2731,4.6,0,0,0,0,0,100,0,0,0,0,0,0
RHW v,2729,4.5,0,0,0,0,0,100,0,0,0,0,0,0
RHW vii,2746,4.3,0,0,0,0,0,100,0,0,0,0,0,0
Rufus Hackles,1868,4.5,0,0,0,0,0,60,0,0,0,0,0,40
Sao Jose dos Pinhais,6454,90.9,3.9,19.7,9.4,2.9,8.3,12.3,3.9,17.7,6.4,6,4,5.6
Abia Roboam,6699,6.5,0,0,0,0,0,100,0,0,0,0,0,0
Stephanos,1583,5.1,0,0,0,0,0,55.6,0,0,0,0,0,44.4
Raetop,9964,28.7,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,3.3,8.8
Raeroches,11982,14.3,0,0,44.4,0,0,55.6,0,0,0,0,0,0
0000000000000000000,11419,6.6,0,35.7,14.3,0,0,21.4,0,28.6,0,0,0,0
Does Not Really Matter,8416,51.5,8.4,6.5,11,11.6,8.4,8.4,8.4,8.4,14.8,8.4,3.9,1.9
Bainsbridge,11562,22.2,0,0,34.2,0,21.1,10.5,0,0,0,0,0,34.2
Bani Harifa,10184,7.4,0,8.3,0,0,0,12.5,0,50,0,0,29.2,0
Raelyn,12096,7.2,0,0,26.1,0,26.1,0,0,0,0,0,0,47.8
Yango Kinois,7906,13.7,0,22.7,9.1,0,9.1,22.7,0,27.3,0,0,0,9.1
Amparo de Libertad,4043,18.4,3,3,18.2,3,18.2,9.1,3,21.2,3,0,0,18.2
Ange Mancini,9778,11.4,0,0,39,0,14.6,14.6,0,19.5,0,0,0,12.2
